fecha,casos_reales,casos_predichos
2024-01-01,54,139.4374273192028
2024-01-08,101,130.41921227603848
2024-01-15,94,119.64992272473626
2024-01-22,130,156.58135730610087
2024-01-29,74,102.44425702262936
2024-02-05,95,108.281241144757
2024-02-12,115,83.34369382951641
2024-02-19,137,78.72320932556134
2024-02-26,138,85.10142442830477
2024-03-04,164,78.3241715127156
2024-03-11,179,77.26655445935644
2024-03-18,184,70.59775614953023
2024-03-25,106,66.97940878098645
2024-04-01,211,62.780767481811594
2024-04-08,181,65.36574151852636
2024-04-15,163,74.17982686653876
2024-04-22,154,60.63009103648693
2024-04-29,129,60.27593701411599
2024-05-06,202,63.72498129542465
2024-05-13,174,53.04270744623541
2024-05-20,141,54.36786900743623
2024-05-27,115,56.09493453040673
2024-06-03,84,57.65601678381016
2024-06-10,79,59.23181815750708
2024-06-17,82,57.41928744952343
2024-06-24,69,54.35502644797624
2024-07-01,68,54.79912807776746
2024-07-08,73,52.76282392500749
2024-07-15,40,56.378579717739335
2024-07-22,50,56.65639738491449
2024-07-29,34,56.35331618160952
2024-08-05,43,58.68408473730362
2024-08-12,47,59.53095987935021
2024-08-19,63,64.0238222580532
2024-08-26,63,71.29311652397412
2024-09-02,93,73.88685636549265
2024-09-09,107,87.22306998529712
2024-09-16,87,98.5162367240727
2024-09-23,82,96.64694280571138
2024-09-30,106,97.03258622334513
2024-10-07,94,106.05028227632413
2024-10-14,144,105.99800054928204
2024-10-21,205,107.79319857771895
2024-10-28,183,127.1853052873562
2024-11-04,299,145.84583311239894
2024-11-11,425,144.61280441270097
2024-11-18,534,130.11191055215772
2024-11-25,427,126.42410157564939
2024-12-02,430,111.55581059537882
2024-12-09,354,123.12857530377238
2024-12-16,318,171.67451110509435
2024-12-23,272,213.46026424603235
